CENTRALWAVELNG,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2
4.98,0.12067,2.5E-4,-2.6E-4
4.94,0.12064,2.4E-4,-2.4E-4
4.9,0.12071,2.2E-4,-2.2E-4
4.86,0.12054,2.2E-4,-2.2E-4
4.82,0.12073,2.0E-4,-2.1E-4
4.78,0.12069,2.0E-4,-2.0E-4
4.74,0.12076,1.8E-4,-1.8E-4
4.7,0.12049,1.8E-4,-1.8E-4
4.66,0.12073,1.8E-4,-1.8E-4
4.62,0.12049,1.8E-4,-1.8E-4
4.58,0.12078,1.9E-4,-1.9E-4
4.54,0.12085,1.7E-4,-1.8E-4
4.5,0.12088,1.7E-4,-1.7E-4
4.46,0.12085,1.7E-4,-1.7E-4
4.42,0.12117,1.7E-4,-1.7E-4
4.38,0.12113,1.6E-4,-1.6E-4
4.34,0.1212,1.5E-4,-1.5E-4
4.3,0.12103,1.5E-4,-1.5E-4
4.26,0.121,1.5E-4,-1.5E-4
4.22,0.12073,1.5E-4,-1.5E-4
4.18,0.1204,1.4E-4,-1.4E-4
4.14,0.12027,1.4E-4,-1.4E-4
4.1,0.12032,1.3E-4,-1.3E-4
4.06,0.12037,1.2E-4,-1.2E-4
4.02,0.12015,1.2E-4,-1.2E-4
3.99,0.12007,1.5E-4,-1.5E-4
3.97,0.12027,1.3E-4,-1.3E-4
3.95,0.12023,1.3E-4,-1.3E-4
3.93,0.12008,1.2E-4,-1.2E-4
3.91,0.12008,1.3E-4,-1.3E-4
3.89,0.12013,1.6E-4,-1.6E-4
3.86,0.12014,1.3E-4,-1.3E-4
3.82,0.12023,1.2E-4,-1.2E-4
3.78,0.12026,1.2E-4,-1.2E-4
3.74,0.12011,1.2E-4,-1.2E-4
3.7,0.12025,1.3E-4,-1.3E-4
3.66,0.1202,1.2E-4,-1.2E-4
3.62,0.12038,1.2E-4,-1.2E-4
3.58,0.12029,1.2E-4,-1.2E-4
3.54,0.12044,1.3E-4,-1.3E-4
3.5,0.12062,1.2E-4,-1.2E-4
3.46,0.1206,1.1E-4,-1.1E-4
3.42,0.12056,1.1E-4,-1.1E-4
3.38,0.1206,1.1E-4,-1.1E-4
3.34,0.12063,1.1E-4,-1.1E-4
3.3,0.12073,1.1E-4,-1.1E-4
3.26,0.12057,1.1E-4,-1.1E-4
3.22,0.12079,1.2E-4,-1.2E-4
3.18,0.12073,1.2E-4,-1.2E-4
3.14,0.12102,1.1E-4,-1.1E-4
3.1,0.12098,1.1E-4,-1.1E-4
3.06,0.12109,1.1E-4,-1.1E-4
3.02,0.12114,1.2E-4,-1.2E-4
2.98,0.12141,1.2E-4,-1.2E-4
2.94,0.12142,1.1E-4,-1.1E-4
2.9,0.12143,1.1E-4,-1.1E-4
2.86,0.12136,1.2E-4,-1.2E-4
2.82,0.12136,1.2E-4,-1.2E-4
2.78,0.12141,1.2E-4,-1.2E-4
2.74,0.12148,1.3E-4,-1.3E-4
2.7,0.12139,1.2E-4,-1.2E-4
2.66,0.1215,1.1E-4,-1.1E-4
2.62,0.12121,1.2E-4,-1.2E-4
2.58,0.12121,1.2E-4,-1.2E-4
2.54,0.12115,1.3E-4,-1.3E-4
2.5,0.1211,1.3E-4,-1.3E-4
2.46,0.12103,1.3E-4,-1.3E-4
2.42,0.12084,1.4E-4,-1.4E-4
2.38,0.12054,1.7E-4,-1.8E-4
